ENERC;CHOAVL;FAT;PROT;FIBC;STARCH;SUGAR;FASAT;NACL
206.09;7.200;0.6;0.82;3.500;0;7.200;0.0305;1.27
311.15;6.250;3.22;0.73;6.000;0;6.250;0.7980;8.92
824.45;46.600;0.100;0.68;0.900;0;46.600;0.0153;35.42
206.24;6.250;0.5;0.82;6.000;0;6.250;0.0305;3.57
307.25;17.300;0.300;0.05;0;0;17.300;0;2.55
297.21;16.800;0.300;0.03;0;0.10;16.700;0.0076;3.08
174.75;9.640;0.120;0.20;0;0;9.640;0.0360;2.40
149.40;8.400;0;0.19;0;0;8.400;0.0037;14.27
31.89;1.560;0;0.13;0;0;1.560;0.0031;2.63
197.23;10.284;0.132;0.56;0;0;10.284;0.0232;4.33
219.90;11.200;0.100;0.40;1.400;0;11.200;0.0080;12.74
188.43;9.500;0.1;0.20;1.8;0.1;9.400;0.0146;2.04
206.07;11.319;0.102;0.27;0.295;0.10;11.223;0.0095;6.90
140.28;6.120;0.21;0.70;0;0;6.120;0.0260;1.46
605.43;33.540;0.300;0.13;1.750;0;33.540;0.0153;96.82
94.64;4.100;0.19;0.63;0.900;0;4.100;0.0500;20.38
532.45;29.318;0.350;0.55;1.925;0.44;28.875;0.0164;3.25
3041.93;0.800;81.300;1.19;0;0;0.800;52.7799;1508.42
2990.43;0.600;80.000;1.19;0;0;0.600;40.6700;1528.80
3680.17;0.400;99;0.61;0;0;0.400;35.8200;0
2971.10;0;80.000;0.64;0;0;0;35.372;1528.80
2966.46;0;80.000;0.38;0;0;0;35.0700;509.60
3700.00;0;100;0;0;0;0;18.6784;0
3700.00;0;100.000;0;0;0;0;5.7263;0
3700.00;0;100.000;0;0;0;0;14.0125;0
3700.00;0;100.000;0;0;0;0;20.0000;0
3700.00;0;100.000;0;0;0;0;11.0303;0
3696.30;0;99.900;0;0;0;0;6.5649;0
3696.30;0;99.900;0;0;0;0;14.5202;0
3696.30;0;99.900;0;0;0;0;12.6189;0
3591.24;0;96.500;1.22;0;0;0;55.7755;0
3696.30;0;99.900;0;0;0;0;91.3171;0
3683.74;0;99.000;1.22;0;0;0;46.2300;0
2282.76;2.100;60.000;1.50;0;0;2.1;7.8279;1521.16
1760.81;11.157;42.300;0.11;0.034;0.86;10.297;2.7334;1630.72
1633.00;2.000;40.000;7;0;0;2.000;15.5500;699.43
2235.64;0.650;60;0.9;0;0;0.650;17.5525;1197.56
1582.00;2.000;40.000;4;0;0;2.000;15.5500;1200.11
1576.80;3;40;0.40;0;2.5;0.5;14.0410;1528.80
3041.93;0.800;81.300;1.19;0;0;0.800;52.7954;0
1240.80;6.194;30.000;1.50;0;0;6.194;3.1242;689.45
497.32;9.424;9.000;0.16;0;0;9.424;0.5625;1299.48
3041.93;0.800;81.300;1.19;0;0;0.800;52.7799;1999.93
2990.43;0.600;80.000;1.19;0;0;0.600;40.6700;1999.93
2971.90;0.4;80.000;0.75;0;0;0.400;35.6275;1070.16
2794.89;0.750;75.000;0.42;0;0;0.750;32.3767;1337.06
3678.95;0;99.146;0.62;0;0;0;64.3657;25.48
1240.10;0.600;32.000;2.7;0;0;0.6;5.8401;1019.20
298.00;4.800;4.400;3.00;0;0;4.800;2.9603;127.40
275.11;4.000;3.400;4.63;0;0;4.000;2.2276;127.40
274.99;4.500;3.900;3.19;0;0;4.500;2.3954;140.14
141.66;4.900;0.100;3.06;0;0;4.900;0.0683;112.11
160.98;3.600;0.800;3.44;0;0;3.600;0.4527;122.30
125.56;3.600;0.100;2.88;0;0;3.600;0.0683;142.69
120.36;2.000;0.500;3.38;0;0;2.000;0.2623;114.66
553.51;3.200;12.000;2.63;0;0;3.200;8.3994;99.37
211.47;3.500;2.500;2.81;0;0;3.500;1.7362;127.40
262.10;3.500;3.500;3.00;0;0;3.500;2.3085;119.76
203.68;3.600;2.500;2.94;0;0;3.600;1.6614;127.40
252.49;5.000;2.500;3.19;0;0;5.000;1.4671;140.14
267.40;3.400;3.900;3.00;0;0;3.400;2.5938;119.76
248.17;3.000;0.400;9.81;0;0;3.000;0.1262;252.61
178.66;4.800;1.000;3.38;0;0;4.800;0.6794;104.47
1160.00;3.000;28.000;2;0;0;3.000;19.3630;254.80
1517.38;2.650;38;1.88;0;0;2.650;26.9082;71.34
1631.51;2.200;42.000;2.13;0;0;2.200;27.8806;96.82
1488.47;2.900;38.000;1.88;0;0;2.900;25.4170;71.34
859.39;4.000;19.000;2.44;0;0;4.000;12.4309;68.80
502.31;4.500;10.000;3.13;0;0;4.500;7.1275;68.80
352.88;2.000;0.300;18.00;0;0;2.000;0.2027;764.40
273.18;11.380;0.820;2.57;0.260;0.10;11.280;0.5005;100.90
143.32;5.000;0.100;3.06;0;0;5.000;0.0683;112.11
297.96;14.240;0.111;2.77;0.195;0.03;14.200;0.0625;101.55
1495.09;0;27.200;27.37;0;0;0;17.5440;1414.57
1563.27;0;32.000;22.31;0;0;0;21.6401;1528.80
1583.88;0;30.000;27.88;0;0;0;18.9273;764.40
1424.80;0;25.700;26.50;0;0;0;15.7158;1302.03
897.00;0;10.000;31.00;0;0;0;6.2667;1121.12
1471.40;3.600;32.6;12.00;0;0;3.600;20.3326;1477.84
1246.06;2.500;24.000;18.56;0;0;2.500;14.0756;2548.00
1385.00;2.000;31.000;12.00;0;0;2.000;21.0000;2548.00
385.27;2.500;2.000;15.81;0;0;2.500;1.3709;764.40
830.51;4.300;11;20.19;0;0;4.300;7.1981;1151.87
1416.23;0;29.000;20.19;0;0;0;17.4450;3200.29
1569.90;0;31.000;23.50;0;0;0;19.8650;1849.85
1524.76;0;28.400;27.88;0;0;0;17.6673;1121.12
1159.10;2.500;21.000;18.60;0;0;2.500;13.8387;611.52
1453.30;7.200;30;12;0;0;7.200;19.0873;1019.20
748.70;3.100;11.000;17;0;0;3.100;6.6825;2548.00
627.12;14.100;8.500;4.06;0.400;5.60;8.500;4.8869;160.52
768.42;17.320;11.000;3.94;0;0;17.320;7.2852;112.11
1123.55;22.995;17.772;5.12;0.304;0;22.995;10.5490;139.22
928.13;24.910;11.600;4.06;0.600;8.40;16.510;5.9422;112.11
636.87;17.900;7.000;4.19;0;0;17.900;3.5307;157.98
